Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
76301019,0000041D,false,Rx,2,8,45,25,10,27,00,02,04,77,
76301020,0000041E,false,Rx,2,8,00,00,00,00,02,6C,04,BA,
76301032,000003D2,false,Rx,0,6,04,0B,00,00,00,69,00,00,
76303000,00000145,false,Rx,1,8,1A,10,1B,10,15,10,30,63,
76305000,00000155,false,Rx,1,8,19,10,18,10,09,10,30,36,
76306000,000003C3,false,Rx,0,6,00,0F,FF,FF,FF,F0,00,00,
76307000,00000165,false,Rx,1,8,1F,C1,00,00,00,00,30,EE,
76309000,00000116,false,Rx,1,8,11,00,00,00,00,00,00,00,
76310001,00000085,false,Rx,1,8,C7,10,00,50,00,00,60,DC,
76311001,00000175,false,Rx,1,8,31,31,31,31,3C,00,30,C7,
76313000,00000100,false,Rx,1,8,00,00,00,00,00,00,A0,FE,
76315000,00000126,false,Rx,1,8,11,10,17,10,12,10,30,F5,
76316000,000003C3,false,Rx,0,6,00,00,00,00,00,00,00,00,
76317000,00000136,false,Rx,1,8,10,10,12,10,0A,10,30,7D,
76319000,00000146,false,Rx,1,8,16,10,17,10,16,10,30,39,
76321000,00000156,false,Rx,1,8,0E,10,14,10,14,10,30,F1,
76323000,00000166,false,Rx,1,8,F8,C0,00,00,00,00,30,99,
76323003,00000086,false,Rx,1,8,C7,10,00,50,00,00,60,73,
76325000,00000176,false,Rx,1,8,32,32,32,32,3D,00,30,CE,
76326000,000003C3,false,Rx,0,6,00,01,FF,FF,FF,F4,00,00,
76327000,00000117,false,Rx,1,8,11,00,00,00,00,00,00,00,
76329000,00000127,false,Rx,1,8,F8,0F,F8,0F,F4,0F,30,10,
